indic_env,geotime,date,value
GHG_I90,FI,2005-01-01,
GHG_I90,FI,2006-01-01,
GHG_I90,FI,2007-01-01,
GHG_I90,FI,2008-01-01,101
GHG_I90,FI,2009-01-01,
GHG_I90,FI,2010-01-01,106
GHG_I90,FI,2011-01-01,96
GHG_I90,FI,2012-01-01,88
GHG_I90,FI,2013-01-01,89
GHG_I90,FI,2014-01-01,84
GHG_I90,FI,2015-01-01,79
GHG_I90,FI,2016-01-01,84
GHG_I90,FR,1990-01-01,100
GHG_I90,FR,1991-01-01,104
GHG_I90,FR,1992-01-01,103
GHG_I90,FR,1993-01-01,99
GHG_I90,FR,1994-01-01,98
GHG_I90,FR,1995-01-01,99
GHG_I90,FR,1996-01-01,102
GHG_I90,FR,1997-01-01,101
GHG_I90,FR,1998-01-01,104
GHG_I90,FR,1999-01-01,102
GHG_I90,FR,2000-01-01,101
GHG_I90,FR,2001-01-01,102
GHG_I90,FR,2002-01-01,
GHG_I90,FR,2003-01-01,
GHG_I90,FR,2004-01-01,
GHG_I90,FR,2005-01-01,
GHG_I90,FR,2006-01-01,
GHG_I90,FR,2007-01-01,
GHG_I90,FR,2008-01-01,97
GHG_I90,FR,2009-01-01,
GHG_I90,FR,2010-01-01,95
GHG_I90,FR,2011-01-01,90
GHG_I90,FR,2012-01-01,90
GHG_I90,FR,2013-01-01,90
GHG_I90,FR,2014-01-01,84
GHG_I90,FR,2015-01-01,85
GHG_I90,FR,2016-01-01,85
GHG_I90,HR,1990-01-01,100
GHG_I90,HR,1991-01-01,77
GHG_I90,HR,1992-01-01,71
GHG_I90,HR,1993-01-01,72
GHG_I90,HR,1994-01-01,69
GHG_I90,HR,1995-01-01,71
GHG_I90,HR,1996-01-01,73
GHG_I90,HR,1997-01-01,77
GHG_I90,HR,1998-01-01,78
GHG_I90,HR,1999-01-01,81
GHG_I90,HR,2000-01-01,80
GHG_I90,HR,2001-01-01,84
GHG_I90,HR,2002-01-01,
GHG_I90,HR,2003-01-01,
GHG_I90,HR,2004-01-01,
GHG_I90,HR,2005-01-01,
GHG_I90,HR,2006-01-01,
GHG_I90,HR,2007-01-01,
GHG_I90,HR,2008-01-01,95
GHG_I90,HR,2009-01-01,
GHG_I90,HR,2010-01-01,87
GHG_I90,HR,2011-01-01,86
GHG_I90,HR,2012-01-01,80
GHG_I90,HR,2013-01-01,77
GHG_I90,HR,2014-01-01,74
GHG_I90,HR,2015-01-01,75
GHG_I90,HR,2016-01-01,76
GHG_I90,HU,1990-01-01,100
GHG_I90,HU,1991-01-01,92
GHG_I90,HU,1992-01-01,82
GHG_I90,HU,1993-01-01,83
GHG_I90,HU,1994-01-01,82
GHG_I90,HU,1995-01-01,80
GHG_I90,HU,1996-01-01,83
GHG_I90,HU,1997-01-01,81
GHG_I90,HU,1998-01-01,81
GHG_I90,HU,1999-01-01,81
GHG_I90,HU,2000-01-01,78
GHG_I90,HU,2001-01-01,80
GHG_I90,HU,2002-01-01,
GHG_I90,HU,2003-01-01,
GHG_I90,HU,2004-01-01,
GHG_I90,HU,2005-01-01,
GHG_I90,HU,2006-01-01,
GHG_I90,HU,2007-01-01,
GHG_I90,HU,2008-01-01,76
GHG_I90,HU,2009-01-01,
GHG_I90,HU,2010-01-01,70
GHG_I90,HU,2011-01-01,68
GHG_I90,HU,2012-01-01,64
GHG_I90,HU,2013-01-01,61
GHG_I90,HU,2014-01-01,62
GHG_I90,HU,2015-01-01,65
GHG_I90,HU,2016-01-01,65
GHG_I90,IE,1990-01-01,100
GHG_I90,IE,1991-01-01,101
GHG_I90,IE,1992-01-01,100
GHG_I90,IE,1993-01-01,102
GHG_I90,IE,1994-01-01,104
GHG_I90,IE,1995-01-01,106
GHG_I90,IE,1996-01-01,110
GHG_I90,IE,1997-01-01,113
GHG_I90,IE,1998-01-01,117
GHG_I90,IE,1999-01-01,120
GHG_I90,IE,2000-01-01,124
GHG_I90,IE,2001-01-01,128
GHG_I90,IE,2002-01-01,
GHG_I90,IE,2003-01-01,
GHG_I90,IE,2004-01-01,
GHG_I90,IE,2005-01-01,
GHG_I90,IE,2006-01-01,
GHG_I90,IE,2007-01-01,
GHG_I90,IE,2008-01-01,124
GHG_I90,IE,2009-01-01,
GHG_I90,IE,2010-01-01,112
GHG_I90,IE,2011-01-01,104
GHG_I90,IE,2012-01-01,105
GHG_I90,IE,2013-01-01,105
GHG_I90,IE,2014-01-01,105
GHG_I90,IE,2015-01-01,109
GHG_I90,IE,2016-01-01,113
GHG_I90,IS,1990-01-01,100
GHG_I90,IS,1991-01-01,94
GHG_I90,IS,1992-01-01,91
GHG_I90,IS,1993-01-01,93
GHG_I90,IS,1994-01-01,92
GHG_I90,IS,1995-01-01,95
GHG_I90,IS,1996-01-01,98
GHG_I90,IS,1997-01-01,102
GHG_I90,IS,1998-01-01,108
GHG_I90,IS,1999-01-01,114
GHG_I90,IS,2000-01-01,116
GHG_I90,IS,2001-01-01,111
GHG_I90,IS,2002-01-01,
GHG_I90,IS,2003-01-01,
GHG_I90,IS,2004-01-01,
GHG_I90,IS,2005-01-01,
GHG_I90,IS,2006-01-01,
GHG_I90,IS,2007-01-01,
GHG_I90,IS,2008-01-01,147
GHG_I90,IS,2009-01-01,
GHG_I90,IS,2010-01-01,136
GHG_I90,IS,2011-01-01,130
GHG_I90,IS,2012-01-01,131
GHG_I90,IS,2013-01-01,133
GHG_I90,IS,2014-01-01,135
GHG_I90,IS,2015-01-01,140
GHG_I90,IS,2016-01-01,145
GHG_I90,IT,1990-01-01,100
GHG_I90,IT,1991-01-01,100
GHG_I90,IT,1992-01-01,100
GHG_I90,IT,1993-01-01,98
GHG_I90,IT,1994-01-01,97
GHG_I90,IT,1995-01-01,103
GHG_I90,IT,1996-01-01,101
GHG_I90,IT,1997-01-01,102
GHG_I90,IT,1998-01-01,105
GHG_I90,IT,1999-01-01,106
GHG_I90,IT,2000-01-01,107
GHG_I90,IT,2001-01-01,108
GHG_I90,IT,2002-01-01,
GHG_I90,IT,2003-01-01,
GHG_I90,IT,2004-01-01,
GHG_I90,IT,2005-01-01,
GHG_I90,IT,2006-01-01,
GHG_I90,IT,2007-01-01,
GHG_I90,IT,2008-01-01,106
GHG_I90,IT,2009-01-01,
GHG_I90,IT,2010-01-01,98
GHG_I90,IT,2011-01-01,95
GHG_I90,IT,2012-01-01,92
GHG_I90,IT,2013-01-01,86
GHG_I90,IT,2014-01-01,83
GHG_I90,IT,2015-01-01,84
GHG_I90,IT,2016-01-01,83
GHG_I90,LI,1990-01-01,100
GHG_I90,LI,1991-01-01,103
GHG_I90,LI,1992-01-01,103
GHG_I90,LI,1993-01-01,106
GHG_I90,LI,1994-01-01,100
GHG_I90,LI,1995-01-01,102
GHG_I90,LI,1996-01-01,103
GHG_I90,LI,1997-01-01,108
GHG_I90,LI,1998-01-01,113
GHG_I90,LI,1999-01-01,112
GHG_I90,LI,2000-01-01,108
GHG_I90,LI,2001-01-01,108
GHG_I90,LI,2002-01-01,
GHG_I90,LI,2003-01-01,
GHG_I90,LI,2004-01-01,
GHG_I90,LI,2005-01-01,
GHG_I90,LI,2006-01-01,
GHG_I90,LI,2007-01-01,
GHG_I90,LI,2008-01-01,113
GHG_I90,LI,2009-01-01,
GHG_I90,LI,2010-01-01,100
GHG_I90,LI,2011-01-01,95
GHG_I90,LI,2012-01-01,99
GHG_I90,LI,2013-01-01,101
GHG_I90,LI,2014-01-01,88
GHG_I90,LI,2015-01-01,87
GHG_I90,LI,2016-01-01,82
GHG_I90,LT,1990-01-01,100
GHG_I90,LT,1991-01-01,104
GHG_I90,LT,1992-01-01,64
GHG_I90,LT,1993-01-01,51
GHG_I90,LT,1994-01-01,48
GHG_I90,LT,1995-01-01,46
GHG_I90,LT,1996-01-01,48
GHG_I90,LT,1997-01-01,47
GHG_I90,LT,1998-01-01,49
GHG_I90,LT,1999-01-01,43
GHG_I90,LT,2000-01-01,40
GHG_I90,LT,2001-01-01,41
GHG_I90,LT,2002-01-01,
GHG_I90,LT,2003-01-01,
GHG_I90,LT,2004-01-01,
GHG_I90,LT,2005-01-01,
GHG_I90,LT,2006-01-01,
GHG_I90,LT,2007-01-01,
GHG_I90,LT,2008-01-01,50
GHG_I90,LT,2009-01-01,
GHG_I90,LT,2010-01-01,43
GHG_I90,LT,2011-01-01,44
GHG_I90,LT,2012-01-01,44
GHG_I90,LT,2013-01-01,41
GHG_I90,LT,2014-01-01,41
GHG_I90,LT,2015-01-01,42
GHG_I90,LT,2016-01-01,42
GHG_I90,LU,1990-01-01,100
GHG_I90,LU,1991-01-01,104
GHG_I90,LU,1992-01-01,102
GHG_I90,LU,1993-01-01,103
GHG_I90,LU,1994-01-01,98
GHG_I90,LU,1995-01-01,80
GHG_I90,LU,1996-01-01,81
GHG_I90,LU,1997-01-01,77
GHG_I90,LU,1998-01-01,72
GHG_I90,LU,1999-01-01,76
GHG_I90,LU,2000-01-01,80
GHG_I90,LU,2001-01-01,84
GHG_I90,LU,2002-01-01,
GHG_I90,LU,2003-01-01,
GHG_I90,LU,2004-01-01,
GHG_I90,LU,2005-01-01,
GHG_I90,LU,2006-01-01,
GHG_I90,LU,2007-01-01,
GHG_I90,LU,2008-01-01,101
GHG_I90,LU,2009-01-01,
GHG_I90,LU,2010-01-01,102
GHG_I90,LU,2011-01-01,100
GHG_I90,LU,2012-01-01,97
GHG_I90,LU,2013-01-01,93
GHG_I90,LU,2014-01-01,90
GHG_I90,LU,2015-01-01,88
GHG_I90,LU,2016-01-01,87
GHG_I90,LV,1990-01-01,100
GHG_I90,LV,1991-01-01,92
GHG_I90,LV,1992-01-01,74
GHG_I90,LV,1993-01-01,61
GHG_I90,LV,1994-01-01,54
GHG_I90,LV,1995-01-01,48
GHG_I90,LV,1996-01-01,49
GHG_I90,LV,1997-01-01,46
GHG_I90,LV,1998-01-01,45
GHG_I90,LV,1999-01-01,42
GHG_I90,LV,2000-01-01,39
GHG_I90,LV,2001-01-01,42
GHG_I90,LV,2002-01-01,
GHG_I90,LV,2003-01-01,
GHG_I90,LV,2004-01-01,
GHG_I90,LV,2005-01-01,
GHG_I90,LV,2006-01-01,
GHG_I90,LV,2007-01-01,
GHG_I90,LV,2008-01-01,45
GHG_I90,LV,2009-01-01,
GHG_I90,LV,2010-01-01,47
GHG_I90,LV,2011-01-01,44
GHG_I90,LV,2012-01-01,44
GHG_I90,LV,2013-01-01,43
GHG_I90,LV,2014-01-01,43
GHG_I90,LV,2015-01-01,43
GHG_I90,LV,2016-01-01,43
GHG_I90,MT,1990-01-01,100
GHG_I90,MT,1991-01-01,107
GHG_I90,MT,1992-01-01,119
GHG_I90,MT,1993-01-01,120
GHG_I90,MT,1994-01-01,130
GHG_I90,MT,1995-01-01,131
GHG_I90,MT,1996-01-01,130
GHG_I90,MT,1997-01-01,133
GHG_I90,MT,1998-01-01,133
GHG_I90,MT,1999-01-01,136
GHG_I90,MT,2000-01-01,136
GHG_I90,MT,2001-01-01,130
GHG_I90,MT,2002-01-01,
GHG_I90,MT,2003-01-01,
GHG_I90,MT,2004-01-01,
GHG_I90,MT,2005-01-01,
GHG_I90,MT,2006-01-01,
GHG_I90,MT,2007-01-01,
GHG_I90,MT,2008-01-01,149
GHG_I90,MT,2009-01-01,
GHG_I90,MT,2010-01-01,142
GHG_I90,MT,2011-01-01,145
GHG_I90,MT,2012-01-01,153
GHG_I90,MT,2013-01-01,139
GHG_I90,MT,2014-01-01,141
GHG_I90,MT,2015-01-01,112
GHG_I90,MT,2016-01-01,99
GHG_I90,NL,1990-01-01,100
GHG_I90,NL,1991-01-01,103
GHG_I90,NL,1992-01-01,104
GHG_I90,NL,1993-01-01,104
GHG_I90,NL,1994-01-01,105
GHG_I90,NL,1995-01-01,105
GHG_I90,NL,1996-01-01,110
GHG_I90,NL,1997-01-01,107
GHG_I90,NL,1998-01-01,108
GHG_I90,NL,1999-01-01,102
GHG_I90,NL,2000-01-01,101
GHG_I90,NL,2001-01-01,101
GHG_I90,NL,2002-01-01,
GHG_I90,NL,2003-01-01,
GHG_I90,NL,2004-01-01,
GHG_I90,NL,2005-01-01,
GHG_I90,NL,2006-01-01,
GHG_I90,NL,2007-01-01,
GHG_I90,NL,2008-01-01,96
GHG_I90,NL,2009-01-01,
GHG_I90,NL,2010-01-01,99
GHG_I90,NL,2011-01-01,93
GHG_I90,NL,2012-01-01,90
GHG_I90,NL,2013-01-01,90
GHG_I90,NL,2014-01-01,87
GHG_I90,NL,2015-01-01,91
GHG_I90,NL,2016-01-01,91
GHG_I90,NO,1990-01-01,100
GHG_I90,NO,1991-01-01,95
GHG_I90,NO,1992-01-01,92
GHG_I90,NO,1993-01-01,95
GHG_I90,NO,1994-01-01,99
GHG_I90,NO,1995-01-01,98
GHG_I90,NO,1996-01-01,104
GHG_I90,NO,1997-01-01,104
GHG_I90,NO,1998-01-01,105
GHG_I90,NO,1999-01-01,107
GHG_I90,NO,2000-01-01,106
GHG_I90,NO,2001-01-01,108
GHG_I90,NO,2002-01-01,
GHG_I90,NO,2003-01-01,
GHG_I90,NO,2004-01-01,
GHG_I90,NO,2005-01-01,
GHG_I90,NO,2006-01-01,
GHG_I90,NO,2007-01-01,
GHG_I90,NO,2008-01-01,107
GHG_I90,NO,2009-01-01,
GHG_I90,NO,2010-01-01,107
GHG_I90,NO,2011-01-01,105
GHG_I90,NO,2012-01-01,105
GHG_I90,NO,2013-01-01,105
GHG_I90,NO,2014-01-01,104
GHG_I90,NO,2015-01-01,105
GHG_I90,NO,2016-01-01,104
GHG_I90,PL,1990-01-01,100
GHG_I90,PL,1991-01-01,97
GHG_I90,PL,1992-01-01,94
GHG_I90,PL,1993-01-01,94
GHG_I90,PL,1994-01-01,93
GHG_I90,PL,1995-01-01,93
GHG_I90,PL,1996-01-01,96
GHG_I90,PL,1997-01-01,94
GHG_I90,PL,1998-01-01,88
GHG_I90,PL,1999-01-01,85
GHG_I90,PL,2000-01-01,83
GHG_I90,PL,2001-01-01,83
GHG_I90,PL,2002-01-01,
GHG_I90,PL,2003-01-01,
GHG_I90,PL,2004-01-01,
GHG_I90,PL,2005-01-01,
GHG_I90,PL,2006-01-01,
GHG_I90,PL,2007-01-01,
GHG_I90,PL,2008-01-01,87
GHG_I90,PL,2009-01-01,
GHG_I90,PL,2010-01-01,87
GHG_I90,PL,2011-01-01,86
GHG_I90,PL,2012-01-01,85
GHG_I90,PL,2013-01-01,84
GHG_I90,PL,2014-01-01,82
GHG_I90,PL,2015-01-01,82
GHG_I90,PL,2016-01-01,85
GHG_I90,PT,1990-01-01,100
GHG_I90,PT,1991-01-01,102
GHG_I90,PT,1992-01-01,110
GHG_I90,PT,1993-01-01,107
GHG_I90,PT,1994-01-01,109
GHG_I90,PT,1995-01-01,117
GHG_I90,PT,1996-01-01,113
GHG_I90,PT,1997-01-01,118
GHG_I90,PT,1998-01-01,126
GHG_I90,PT,1999-01-01,140
GHG_I90,PT,2000-01-01,138
GHG_I90,PT,2001-01-01,138
GHG_I90,PT,2002-01-01,
GHG_I90,PT,2003-01-01,
GHG_I90,PT,2004-01-01,
GHG_I90,PT,2005-01-01,
GHG_I90,PT,2006-01-01,
GHG_I90,PT,2007-01-01,
GHG_I90,PT,2008-01-01,130
GHG_I90,PT,2009-01-01,
GHG_I90,PT,2010-01-01,118
GHG_I90,PT,2011-01-01,116
GHG_I90,PT,2012-01-01,113
GHG_I90,PT,2013-01-01,110
GHG_I90,PT,2014-01-01,111
GHG_I90,PT,2015-01-01,118
GHG_I90,PT,2016-01-01,115
GHG_I90,RO,1990-01-01,100
GHG_I90,RO,1991-01-01,82
GHG_I90,RO,1992-01-01,75
GHG_I90,RO,1993-01-01,72
GHG_I90,RO,1994-01-01,70
GHG_I90,RO,1995-01-01,73
GHG_I90,RO,1996-01-01,74
GHG_I90,RO,1997-01-01,69
GHG_I90,RO,1998-01-01,62
GHG_I90,RO,1999-01-01,54
GHG_I90,RO,2000-01-01,57
GHG_I90,RO,2001-01-01,59
GHG_I90,RO,2002-01-01,
GHG_I90,RO,2003-01-01,
GHG_I90,RO,2004-01-01,
GHG_I90,RO,2005-01-01,
GHG_I90,RO,2006-01-01,
GHG_I90,RO,2007-01-01,
GHG_I90,RO,2008-01-01,60
GHG_I90,RO,2009-01-01,
GHG_I90,RO,2010-01-01,49
GHG_I90,RO,2011-01-01,51
GHG_I90,RO,2012-01-01,50
GHG_I90,RO,2013-01-01,46
GHG_I90,RO,2014-01-01,46
GHG_I90,RO,2015-01-01,47
GHG_I90,RO,2016-01-01,45
GHG_I90,SE,1990-01-01,100
GHG_I90,SE,1991-01-01,99
GHG_I90,SE,1992-01-01,98
GHG_I90,SE,1993-01-01,99
GHG_I90,SE,1994-01-01,103
GHG_I90,SE,1995-01-01,102
GHG_I90,SE,1996-01-01,107
GHG_I90,SE,1997-01-01,101
GHG_I90,SE,1998-01-01,102
GHG_I90,SE,1999-01-01,98
GHG_I90,SE,2000-01-01,96
GHG_I90,SE,2001-01-01,97
GHG_I90,SE,2002-01-01,
GHG_I90,SE,2003-01-01,
GHG_I90,SE,2004-01-01,
GHG_I90,SE,2005-01-01,
GHG_I90,SE,2006-01-01,
GHG_I90,SE,2007-01-01,
GHG_I90,SE,2008-01-01,89
GHG_I90,SE,2009-01-01,
GHG_I90,SE,2010-01-01,91
GHG_I90,SE,2011-01-01,85
GHG_I90,SE,2012-01-01,81
GHG_I90,SE,2013-01-01,79
