unit,age,sex,geotime,date,value
PC,Y_LT18,T,IT,2017-01-01,32
PC,Y_LT18,T,LT,2006-01-01,37
PC,Y_LT18,T,LT,2007-01-01,29
PC,Y_LT18,T,LT,2008-01-01,29
PC,Y_LT18,T,LT,2009-01-01,30
PC,Y_LT18,T,LT,2010-01-01,35
PC,Y_LT18,T,LT,2011-01-01,34
PC,Y_LT18,T,LT,2012-01-01,31
PC,Y_LT18,T,LT,2013-01-01,35
PC,Y_LT18,T,LT,2014-01-01,28
PC,Y_LT18,T,LT,2015-01-01,
PC,Y_LT18,T,LT,2016-01-01,32
PC,Y_LT18,T,LT,2017-01-01,31
PC,Y_LT18,T,LU,2006-01-01,20
PC,Y_LT18,T,LU,2007-01-01,21
PC,Y_LT18,T,LU,2008-01-01,20
PC,Y_LT18,T,LU,2009-01-01,23
PC,Y_LT18,T,LU,2010-01-01,22
PC,Y_LT18,T,LU,2011-01-01,21
PC,Y_LT18,T,LU,2012-01-01,24
PC,Y_LT18,T,LU,2013-01-01,26
PC,Y_LT18,T,LU,2014-01-01,26
PC,Y_LT18,T,LU,2015-01-01,
PC,Y_LT18,T,LU,2016-01-01,22
PC,Y_LT18,T,LU,2017-01-01,23
PC,Y_LT18,T,LV,2006-01-01,42
PC,Y_LT18,T,LV,2007-01-01,32
PC,Y_LT18,T,LV,2008-01-01,32
PC,Y_LT18,T,LV,2009-01-01,38
PC,Y_LT18,T,LV,2010-01-01,42
PC,Y_LT18,T,LV,2011-01-01,44
PC,Y_LT18,T,LV,2012-01-01,40
PC,Y_LT18,T,LV,2013-01-01,38
PC,Y_LT18,T,LV,2014-01-01,35
PC,Y_LT18,T,LV,2015-01-01,
PC,Y_LT18,T,LV,2016-01-01,24
PC,Y_LT18,T,LV,2017-01-01,23
PC,Y_LT18,T,MK,2006-01-01,
PC,Y_LT18,T,MK,2007-01-01,
PC,Y_LT18,T,MK,2008-01-01,
PC,Y_LT18,T,MK,2009-01-01,
PC,Y_LT18,T,MK,2010-01-01,49
PC,Y_LT18,T,MK,2011-01-01,53
PC,Y_LT18,T,MK,2012-01-01,53
PC,Y_LT18,T,MK,2013-01-01,50
PC,Y_LT18,T,MK,2014-01-01,46
PC,Y_LT18,T,MK,2015-01-01,
PC,Y_LT18,T,MK,2016-01-01,46
PC,Y_LT18,T,MK,2017-01-01,
PC,Y_LT18,T,MT,2006-01-01,22
PC,Y_LT18,T,MT,2007-01-01,23
PC,Y_LT18,T,MT,2008-01-01,25
PC,Y_LT18,T,MT,2009-01-01,26
PC,Y_LT18,T,MT,2010-01-01,26
PC,Y_LT18,T,MT,2011-01-01,27
PC,Y_LT18,T,MT,2012-01-01,31
PC,Y_LT18,T,MT,2013-01-01,32
PC,Y_LT18,T,MT,2014-01-01,31
PC,Y_LT18,T,MT,2015-01-01,
PC,Y_LT18,T,MT,2016-01-01,24
PC,Y_LT18,T,MT,2017-01-01,22
PC,Y_LT18,T,NL,2006-01-01,17
PC,Y_LT18,T,NL,2007-01-01,17
PC,Y_LT18,T,NL,2008-01-01,15
PC,Y_LT18,T,NL,2009-01-01,17
PC,Y_LT18,T,NL,2010-01-01,16
PC,Y_LT18,T,NL,2011-01-01,18
PC,Y_LT18,T,NL,2012-01-01,16
PC,Y_LT18,T,NL,2013-01-01,17
PC,Y_LT18,T,NL,2014-01-01,17
PC,Y_LT18,T,NL,2015-01-01,
PC,Y_LT18,T,NL,2016-01-01,17
PC,Y_LT18,T,NL,2017-01-01,16
PC,Y_LT18,T,NO,2006-01-01,13
PC,Y_LT18,T,NO,2007-01-01,16
PC,Y_LT18,T,NO,2008-01-01,13
PC,Y_LT18,T,NO,2009-01-01,14
PC,Y_LT18,T,NO,2010-01-01,14
PC,Y_LT18,T,NO,2011-01-01,12
PC,Y_LT18,T,NO,2012-01-01,12
PC,Y_LT18,T,NO,2013-01-01,13
PC,Y_LT18,T,NO,2014-01-01,11
PC,Y_LT18,T,NO,2015-01-01,
PC,Y_LT18,T,NO,2016-01-01,14
PC,Y_LT18,T,NO,2017-01-01,15
PC,Y_LT18,T,PL,2006-01-01,42
PC,Y_LT18,T,PL,2007-01-01,37
PC,Y_LT18,T,PL,2008-01-01,32
PC,Y_LT18,T,PL,2009-01-01,31
