age,unit,sex,indic_em,geotime,date,value
Y15-24,PC_POP,T,EMP_LFS,HR,2017-01-01,25
Y15-24,PC_POP,T,EMP_LFS,HU,2005-01-01,21
Y15-24,PC_POP,T,EMP_LFS,HU,2006-01-01,21
Y15-24,PC_POP,T,EMP_LFS,HU,2007-01-01,21
Y15-24,PC_POP,T,EMP_LFS,HU,2008-01-01,20
Y15-24,PC_POP,T,EMP_LFS,HU,2009-01-01,18
Y15-24,PC_POP,T,EMP_LFS,HU,2010-01-01,18
Y15-24,PC_POP,T,EMP_LFS,HU,2011-01-01,18
Y15-24,PC_POP,T,EMP_LFS,HU,2012-01-01,18
Y15-24,PC_POP,T,EMP_LFS,HU,2013-01-01,20
Y15-24,PC_POP,T,EMP_LFS,HU,2014-01-01,23
Y15-24,PC_POP,T,EMP_LFS,HU,2015-01-01,25
Y15-24,PC_POP,T,EMP_LFS,HU,2016-01-01,28
Y15-24,PC_POP,T,EMP_LFS,HU,2017-01-01,29
Y15-24,PC_POP,T,EMP_LFS,IE,2005-01-01,60
Y15-24,PC_POP,T,EMP_LFS,IE,2006-01-01,62
Y15-24,PC_POP,T,EMP_LFS,IE,2007-01-01,63
Y15-24,PC_POP,T,EMP_LFS,IE,2008-01-01,57
Y15-24,PC_POP,T,EMP_LFS,IE,2009-01-01,45
Y15-24,PC_POP,T,EMP_LFS,IE,2010-01-01,38
Y15-24,PC_POP,T,EMP_LFS,IE,2011-01-01,36
Y15-24,PC_POP,T,EMP_LFS,IE,2012-01-01,34
Y15-24,PC_POP,T,EMP_LFS,IE,2013-01-01,36
Y15-24,PC_POP,T,EMP_LFS,IE,2014-01-01,36
Y15-24,PC_POP,T,EMP_LFS,IE,2015-01-01,37
Y15-24,PC_POP,T,EMP_LFS,IE,2016-01-01,42
Y15-24,PC_POP,T,EMP_LFS,IE,2017-01-01,40
Y15-24,PC_POP,T,EMP_LFS,IS,2005-01-01,70
Y15-24,PC_POP,T,EMP_LFS,IS,2006-01-01,72
Y15-24,PC_POP,T,EMP_LFS,IS,2007-01-01,74
Y15-24,PC_POP,T,EMP_LFS,IS,2008-01-01,71
Y15-24,PC_POP,T,EMP_LFS,IS,2009-01-01,61
Y15-24,PC_POP,T,EMP_LFS,IS,2010-01-01,61
Y15-24,PC_POP,T,EMP_LFS,IS,2011-01-01,62
Y15-24,PC_POP,T,EMP_LFS,IS,2012-01-01,65
Y15-24,PC_POP,T,EMP_LFS,IS,2013-01-01,69
Y15-24,PC_POP,T,EMP_LFS,IS,2014-01-01,70
Y15-24,PC_POP,T,EMP_LFS,IS,2015-01-01,73
Y15-24,PC_POP,T,EMP_LFS,IS,2016-01-01,77
Y15-24,PC_POP,T,EMP_LFS,IS,2017-01-01,75
Y15-24,PC_POP,T,EMP_LFS,IT,2005-01-01,25
Y15-24,PC_POP,T,EMP_LFS,IT,2006-01-01,25
Y15-24,PC_POP,T,EMP_LFS,IT,2007-01-01,24
Y15-24,PC_POP,T,EMP_LFS,IT,2008-01-01,24
Y15-24,PC_POP,T,EMP_LFS,IT,2009-01-01,21
Y15-24,PC_POP,T,EMP_LFS,IT,2010-01-01,20
Y15-24,PC_POP,T,EMP_LFS,IT,2011-01-01,19
Y15-24,PC_POP,T,EMP_LFS,IT,2012-01-01,18
Y15-24,PC_POP,T,EMP_LFS,IT,2013-01-01,16
Y15-24,PC_POP,T,EMP_LFS,IT,2014-01-01,15
Y15-24,PC_POP,T,EMP_LFS,IT,2015-01-01,15
Y15-24,PC_POP,T,EMP_LFS,IT,2016-01-01,16
Y15-24,PC_POP,T,EMP_LFS,IT,2017-01-01,17
Y15-24,PC_POP,T,EMP_LFS,LT,2005-01-01,21
Y15-24,PC_POP,T,EMP_LFS,LT,2006-01-01,23
Y15-24,PC_POP,T,EMP_LFS,LT,2007-01-01,24
Y15-24,PC_POP,T,EMP_LFS,LT,2008-01-01,26
Y15-24,PC_POP,T,EMP_LFS,LT,2009-01-01,20
Y15-24,PC_POP,T,EMP_LFS,LT,2010-01-01,18
Y15-24,PC_POP,T,EMP_LFS,LT,2011-01-01,19
Y15-24,PC_POP,T,EMP_LFS,LT,2012-01-01,21
Y15-24,PC_POP,T,EMP_LFS,LT,2013-01-01,24
Y15-24,PC_POP,T,EMP_LFS,LT,2014-01-01,27
Y15-24,PC_POP,T,EMP_LFS,LT,2015-01-01,28
Y15-24,PC_POP,T,EMP_LFS,LT,2016-01-01,30
Y15-24,PC_POP,T,EMP_LFS,LT,2017-01-01,30
Y15-24,PC_POP,T,EMP_LFS,LU,2005-01-01,24
Y15-24,PC_POP,T,EMP_LFS,LU,2006-01-01,23
Y15-24,PC_POP,T,EMP_LFS,LU,2007-01-01,22
Y15-24,PC_POP,T,EMP_LFS,LU,2008-01-01,23
Y15-24,PC_POP,T,EMP_LFS,LU,2009-01-01,26
Y15-24,PC_POP,T,EMP_LFS,LU,2010-01-01,21
Y15-24,PC_POP,T,EMP_LFS,LU,2011-01-01,20
Y15-24,PC_POP,T,EMP_LFS,LU,2012-01-01,21
Y15-24,PC_POP,T,EMP_LFS,LU,2013-01-01,21
Y15-24,PC_POP,T,EMP_LFS,LU,2014-01-01,20
Y15-24,PC_POP,T,EMP_LFS,LU,2015-01-01,29
Y15-24,PC_POP,T,EMP_LFS,LU,2016-01-01,24
Y15-24,PC_POP,T,EMP_LFS,LU,2017-01-01,25
Y15-24,PC_POP,T,EMP_LFS,LV,2005-01-01,32
Y15-24,PC_POP,T,EMP_LFS,LV,2006-01-01,35
Y15-24,PC_POP,T,EMP_LFS,LV,2007-01-01,38
Y15-24,PC_POP,T,EMP_LFS,LV,2008-01-01,37
Y15-24,PC_POP,T,EMP_LFS,LV,2009-01-01,27
Y15-24,PC_POP,T,EMP_LFS,LV,2010-01-01,25
Y15-24,PC_POP,T,EMP_LFS,LV,2011-01-01,25
Y15-24,PC_POP,T,EMP_LFS,LV,2012-01-01,28
Y15-24,PC_POP,T,EMP_LFS,LV,2013-01-01,30
Y15-24,PC_POP,T,EMP_LFS,LV,2014-01-01,32
Y15-24,PC_POP,T,EMP_LFS,LV,2015-01-01,34
Y15-24,PC_POP,T,EMP_LFS,LV,2016-01-01,32
Y15-24,PC_POP,T,EMP_LFS,LV,2017-01-01,33
Y15-24,PC_POP,T,EMP_LFS,ME,2005-01-01,
Y15-24,PC_POP,T,EMP_LFS,ME,2006-01-01,
Y15-24,PC_POP,T,EMP_LFS,ME,2007-01-01,
Y15-24,PC_POP,T,EMP_LFS,ME,2008-01-01,
Y15-24,PC_POP,T,EMP_LFS,ME,2009-01-01,
Y15-24,PC_POP,T,EMP_LFS,ME,2010-01-01,
Y15-24,PC_POP,T,EMP_LFS,ME,2011-01-01,14
Y15-24,PC_POP,T,EMP_LFS,ME,2012-01-01,15
Y15-24,PC_POP,T,EMP_LFS,ME,2013-01-01,15
Y15-24,PC_POP,T,EMP_LFS,ME,2014-01-01,18
Y15-24,PC_POP,T,EMP_LFS,ME,2015-01-01,18
Y15-24,PC_POP,T,EMP_LFS,ME,2016-01-01,21
Y15-24,PC_POP,T,EMP_LFS,ME,2017-01-01,21
Y15-24,PC_POP,T,EMP_LFS,MK,2005-01-01,
Y15-24,PC_POP,T,EMP_LFS,MK,2006-01-01,14
Y15-24,PC_POP,T,EMP_LFS,MK,2007-01-01,15
Y15-24,PC_POP,T,EMP_LFS,MK,2008-01-01,15
Y15-24,PC_POP,T,EMP_LFS,MK,2009-01-01,15
Y15-24,PC_POP,T,EMP_LFS,MK,2010-01-01,15
Y15-24,PC_POP,T,EMP_LFS,MK,2011-01-01,14
Y15-24,PC_POP,T,EMP_LFS,MK,2012-01-01,15
Y15-24,PC_POP,T,EMP_LFS,MK,2013-01-01,16
Y15-24,PC_POP,T,EMP_LFS,MK,2014-01-01,15
Y15-24,PC_POP,T,EMP_LFS,MK,2015-01-01,17
Y15-24,PC_POP,T,EMP_LFS,MK,2016-01-01,16
Y15-24,PC_POP,T,EMP_LFS,MK,2017-01-01,17
Y15-24,PC_POP,T,EMP_LFS,MT,2005-01-01,45
Y15-24,PC_POP,T,EMP_LFS,MT,2006-01-01,44
Y15-24,PC_POP,T,EMP_LFS,MT,2007-01-01,46
Y15-24,PC_POP,T,EMP_LFS,MT,2008-01-01,46
Y15-24,PC_POP,T,EMP_LFS,MT,2009-01-01,44
Y15-24,PC_POP,T,EMP_LFS,MT,2010-01-01,44
Y15-24,PC_POP,T,EMP_LFS,MT,2011-01-01,45
