unit,hhtyp,geotime,date,value
PC,A2,FI,2014-01-01,2.6
PC,A2,FI,2015-01-01,2.0
PC,A2,FI,2016-01-01,1.7
PC,A2,FI,2017-01-01,2.5
PC,A2,FR,2006-01-01,2.7
PC,A2,FR,2007-01-01,2.1
PC,A2,FR,2008-01-01,1.7
PC,A2,FR,2009-01-01,1.8
PC,A2,FR,2010-01-01,2.4
PC,A2,FR,2011-01-01,1.7
PC,A2,FR,2012-01-01,1.9
PC,A2,FR,2013-01-01,1.7
PC,A2,FR,2014-01-01,1.2
PC,A2,FR,2015-01-01,2.4
PC,A2,FR,2016-01-01,1.7
PC,A2,FR,2017-01-01,1.6
PC,A2,HR,2006-01-01,
PC,A2,HR,2007-01-01,
PC,A2,HR,2008-01-01,
PC,A2,HR,2009-01-01,
PC,A2,HR,2010-01-01,18.0
PC,A2,HR,2011-01-01,17.7
PC,A2,HR,2012-01-01,16.9
PC,A2,HR,2013-01-01,15.6
PC,A2,HR,2014-01-01,12.8
PC,A2,HR,2015-01-01,14.1
PC,A2,HR,2016-01-01,15.3
PC,A2,HR,2017-01-01,
PC,A2,HU,2006-01-01,22.8
PC,A2,HU,2007-01-01,19.9
PC,A2,HU,2008-01-01,20.0
PC,A2,HU,2009-01-01,17.5
PC,A2,HU,2010-01-01,16.5
PC,A2,HU,2011-01-01,17.8
PC,A2,HU,2012-01-01,17.3
PC,A2,HU,2013-01-01,15.5
PC,A2,HU,2014-01-01,14.7
PC,A2,HU,2015-01-01,16.2
PC,A2,HU,2016-01-01,16.1
PC,A2,HU,2017-01-01,16.3
PC,A2,IE,2006-01-01,0.7
PC,A2,IE,2007-01-01,0.6
PC,A2,IE,2008-01-01,1.4
PC,A2,IE,2009-01-01,0.0
PC,A2,IE,2010-01-01,0.5
PC,A2,IE,2011-01-01,0.0
PC,A2,IE,2012-01-01,0.2
PC,A2,IE,2013-01-01,0.0
PC,A2,IE,2014-01-01,0.1
PC,A2,IE,2015-01-01,0.2
PC,A2,IE,2016-01-01,0.5
PC,A2,IE,2017-01-01,
PC,A2,IS,2006-01-01,3.1
