unit,nace_r2,na_item,geo\time,date,value
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2017-04-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2017-07-01,-1.0 
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2017-10-01,-0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2018-01-01,-0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,EU28,2018-04-01,-1.3 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2015-07-01,-1.9 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2015-10-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2016-01-01,-2.2 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2016-04-01,1.6 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2016-07-01,-1.2 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2016-10-01,-1.6 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2017-01-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2017-04-01,1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2017-07-01,2.0 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2017-10-01,-0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2018-01-01,0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,FI,2018-04-01,1.5 
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2015-07-01,0.2 d
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2015-10-01,-9.8 d
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2016-01-01,-3.7 d
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2016-04-01,-6.9 d
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2016-07-01,-6.1 d
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2016-10-01,3.9 d
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2017-01-01,-4.6 d
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2017-04-01,-1.0 d
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2017-07-01,1.7 d
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2017-10-01,-2.2 d
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2018-01-01,2.8 d
PCH_PRE_PERS_SCA,A,EMP_DC,HR,2018-04-01,-16.1 d
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2015-07-01,0.7 
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2015-10-01,-0.9 
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2016-01-01,1.5 
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2016-04-01,-1.6 
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2016-07-01,-0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2016-10-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2017-01-01,-1.3 
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2017-04-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2017-07-01,-1.0 
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2017-10-01,1.5 
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2018-01-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,HU,2018-04-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2015-07-01,0.8 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2015-10-01,-2.4 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2016-01-01,2.9 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2016-04-01,3.4 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2016-07-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2016-10-01,-2.1 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2017-01-01,-2.2 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2017-04-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2017-07-01,0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2017-10-01,3.5 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2018-01-01,0.8 
PCH_PRE_PERS_SCA,A,EMP_DC,IE,2018-04-01,-8.7 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2015-07-01,2.0 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2015-10-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2016-01-01,1.1 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2016-04-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2016-07-01,1.3 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2016-10-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2017-01-01,-0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2017-04-01,-0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2017-07-01,-2.0 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2017-10-01,1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2018-01-01,0.9 
PCH_PRE_PERS_SCA,A,EMP_DC,IT,2018-04-01,1.5 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2015-07-01,-1.8 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2015-10-01,-7.8 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2016-01-01,-2.9 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2016-04-01,0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2016-07-01,-0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2016-10-01,-0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2017-01-01,0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2017-04-01,-4.9 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2017-07-01,1.8 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2017-10-01,1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2018-01-01,-0.8 
PCH_PRE_PERS_SCA,A,EMP_DC,LT,2018-04-01,-1.8 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2015-07-01,-0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2015-10-01,0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2016-01-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2016-04-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2016-07-01,0.9 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2016-10-01,-0.9 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2017-01-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2017-04-01,0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2017-07-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2017-10-01,0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2018-01-01,0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,LU,2018-04-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2015-07-01,7.1 
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2015-10-01,7.6 
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2016-01-01,-8.9 
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2016-04-01,4.0 
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2016-07-01,-8.4 
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2016-10-01,-5.9 
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2017-01-01,9.8 
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2017-04-01,-5.4 
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2017-07-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2017-10-01,-3.1 
PCH_PRE_PERS_SCA,A,EMP_DC,LV,2018-01-01,-1.6 
