currency,bop_item,sector10,sectpart,partner,stk_flow,geotime,date,value
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2016-01-01,211124
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,AT,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,1999-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2000-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2001-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2002-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2003-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2004-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2005-01-01,606883
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2006-01-01,656273
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2007-01-01,755310
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2016-01-01,427785
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BE,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,1999-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2000-01-01,11790
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2001-01-01,11103
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2002-01-01,11208
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2003-01-01,11151
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2004-01-01,14897
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2005-01-01,18576
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2006-01-01,23845
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2007-01-01,32454
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2011-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2012-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2013-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2014-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2015-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2016-01-01,39567
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,BG,2017-01-01,
