wstatus,indic_il,sex,age,geotime,date,value
UNE,LI_R_MD60,T,Y_GE18,EA19,2015-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EA19,2016-01-01,48
UNE,LI_R_MD60,T,Y_GE18,EA19,2017-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EE,2005-01-01,60
UNE,LI_R_MD60,T,Y_GE18,EE,2006-01-01,60
UNE,LI_R_MD60,T,Y_GE18,EE,2007-01-01,61
UNE,LI_R_MD60,T,Y_GE18,EE,2008-01-01,61
UNE,LI_R_MD60,T,Y_GE18,EE,2009-01-01,55
UNE,LI_R_MD60,T,Y_GE18,EE,2010-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EE,2011-01-01,52
UNE,LI_R_MD60,T,Y_GE18,EE,2012-01-01,55
UNE,LI_R_MD60,T,Y_GE18,EE,2013-01-01,54
UNE,LI_R_MD60,T,Y_GE18,EE,2014-01-01,54
UNE,LI_R_MD60,T,Y_GE18,EE,2015-01-01,54
UNE,LI_R_MD60,T,Y_GE18,EE,2016-01-01,54
UNE,LI_R_MD60,T,Y_GE18,EE,2017-01-01,50
UNE,LI_R_MD60,T,Y_GE18,EL,2005-01-01,32
UNE,LI_R_MD60,T,Y_GE18,EL,2006-01-01,33
UNE,LI_R_MD60,T,Y_GE18,EL,2007-01-01,35
UNE,LI_R_MD60,T,Y_GE18,EL,2008-01-01,36
UNE,LI_R_MD60,T,Y_GE18,EL,2009-01-01,38
UNE,LI_R_MD60,T,Y_GE18,EL,2010-01-01,38
UNE,LI_R_MD60,T,Y_GE18,EL,2011-01-01,44
UNE,LI_R_MD60,T,Y_GE18,EL,2012-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EL,2013-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EL,2014-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EL,2015-01-01,44
UNE,LI_R_MD60,T,Y_GE18,EL,2016-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EL,2017-01-01,45
UNE,LI_R_MD60,T,Y_GE18,ES,2005-01-01,34
UNE,LI_R_MD60,T,Y_GE18,ES,2006-01-01,37
UNE,LI_R_MD60,T,Y_GE18,ES,2007-01-01,39
UNE,LI_R_MD60,T,Y_GE18,ES,2008-01-01,37
UNE,LI_R_MD60,T,Y_GE18,ES,2009-01-01,38
UNE,LI_R_MD60,T,Y_GE18,ES,2010-01-01,40
UNE,LI_R_MD60,T,Y_GE18,ES,2011-01-01,40
UNE,LI_R_MD60,T,Y_GE18,ES,2012-01-01,43
UNE,LI_R_MD60,T,Y_GE18,ES,2013-01-01,44
UNE,LI_R_MD60,T,Y_GE18,ES,2014-01-01,48
UNE,LI_R_MD60,T,Y_GE18,ES,2015-01-01,46
UNE,LI_R_MD60,T,Y_GE18,ES,2016-01-01,49
UNE,LI_R_MD60,T,Y_GE18,ES,2017-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EU,2005-01-01,
UNE,LI_R_MD60,T,Y_GE18,EU,2006-01-01,
UNE,LI_R_MD60,T,Y_GE18,EU,2007-01-01,
UNE,LI_R_MD60,T,Y_GE18,EU,2008-01-01,44
UNE,LI_R_MD60,T,Y_GE18,EU,2009-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EU,2010-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EU,2011-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EU,2012-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EU,2013-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EU,2014-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EU,2015-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EU,2016-01-01,48
UNE,LI_R_MD60,T,Y_GE18,EU,2017-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EU27,2005-01-01,40
UNE,LI_R_MD60,T,Y_GE18,EU27,2006-01-01,41
UNE,LI_R_MD60,T,Y_GE18,EU27,2007-01-01,43
UNE,LI_R_MD60,T,Y_GE18,EU27,2008-01-01,44
UNE,LI_R_MD60,T,Y_GE18,EU27,2009-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EU27,2010-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EU27,2011-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EU27,2012-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EU27,2013-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EU27,2014-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EU27,2015-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EU27,2016-01-01,48
UNE,LI_R_MD60,T,Y_GE18,EU27,2017-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EU28,2005-01-01,
UNE,LI_R_MD60,T,Y_GE18,EU28,2006-01-01,
UNE,LI_R_MD60,T,Y_GE18,EU28,2007-01-01,
UNE,LI_R_MD60,T,Y_GE18,EU28,2008-01-01,
UNE,LI_R_MD60,T,Y_GE18,EU28,2009-01-01,
UNE,LI_R_MD60,T,Y_GE18,EU28,2010-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EU28,2011-01-01,45
UNE,LI_R_MD60,T,Y_GE18,EU28,2012-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EU28,2013-01-01,46
UNE,LI_R_MD60,T,Y_GE18,EU28,2014-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EU28,2015-01-01,47
UNE,LI_R_MD60,T,Y_GE18,EU28,2016-01-01,48
UNE,LI_R_MD60,T,Y_GE18,EU28,2017-01-01,47
UNE,LI_R_MD60,T,Y_GE18,FI,2005-01-01,35
UNE,LI_R_MD60,T,Y_GE18,FI,2006-01-01,41
UNE,LI_R_MD60,T,Y_GE18,FI,2007-01-01,41
UNE,LI_R_MD60,T,Y_GE18,FI,2008-01-01,42
UNE,LI_R_MD60,T,Y_GE18,FI,2009-01-01,51
UNE,LI_R_MD60,T,Y_GE18,FI,2010-01-01,45
UNE,LI_R_MD60,T,Y_GE18,FI,2011-01-01,43
UNE,LI_R_MD60,T,Y_GE18,FI,2012-01-01,45
UNE,LI_R_MD60,T,Y_GE18,FI,2013-01-01,37
UNE,LI_R_MD60,T,Y_GE18,FI,2014-01-01,46
UNE,LI_R_MD60,T,Y_GE18,FI,2015-01-01,39
UNE,LI_R_MD60,T,Y_GE18,FI,2016-01-01,37
UNE,LI_R_MD60,T,Y_GE18,FI,2017-01-01,35
UNE,LI_R_MD60,T,Y_GE18,FR,2005-01-01,29
UNE,LI_R_MD60,T,Y_GE18,FR,2006-01-01,31
UNE,LI_R_MD60,T,Y_GE18,FR,2007-01-01,34
