unit,sector,s_adj,geotime,date,value
PC,S11,SCA,EE,2016-01-01,20
PC,S11,SCA,EE,2016-04-01,21
PC,S11,SCA,EE,2016-07-01,19
PC,S11,SCA,EE,2016-10-01,19
PC,S11,SCA,EE,2017-01-01,22
PC,S11,SCA,EE,2017-04-01,22
PC,S11,SCA,EE,2017-07-01,20
PC,S11,SCA,EE,2017-10-01,19
PC,S11,SCA,EE,2018-01-01,20
PC,S11,SCA,EE,2018-04-01,
PC,S11,SCA,ES,2015-07-01,25
PC,S11,SCA,ES,2015-10-01,25
PC,S11,SCA,ES,2016-01-01,26
PC,S11,SCA,ES,2016-04-01,26
PC,S11,SCA,ES,2016-07-01,27
PC,S11,SCA,ES,2016-10-01,27
PC,S11,SCA,ES,2017-01-01,27
PC,S11,SCA,ES,2017-04-01,27
PC,S11,SCA,ES,2017-07-01,27
PC,S11,SCA,ES,2017-10-01,27
PC,S11,SCA,ES,2018-01-01,27
PC,S11,SCA,ES,2018-04-01,
PC,S11,SCA,EU28,2015-07-01,21
PC,S11,SCA,EU28,2015-10-01,22
PC,S11,SCA,EU28,2016-01-01,22
PC,S11,SCA,EU28,2016-04-01,22
PC,S11,SCA,EU28,2016-07-01,23
PC,S11,SCA,EU28,2016-10-01,22
PC,S11,SCA,EU28,2017-01-01,22
PC,S11,SCA,EU28,2017-04-01,23
PC,S11,SCA,EU28,2017-07-01,22
PC,S11,SCA,EU28,2017-10-01,22
PC,S11,SCA,EU28,2018-01-01,23
PC,S11,SCA,EU28,2018-04-01,
PC,S11,SCA,FI,2015-07-01,20
PC,S11,SCA,FI,2015-10-01,20
PC,S11,SCA,FI,2016-01-01,21
PC,S11,SCA,FI,2016-04-01,21
PC,S11,SCA,FI,2016-07-01,20
PC,S11,SCA,FI,2016-10-01,21
PC,S11,SCA,FI,2017-01-01,21
PC,S11,SCA,FI,2017-04-01,20
PC,S11,SCA,FI,2017-07-01,21
PC,S11,SCA,FI,2017-10-01,20
PC,S11,SCA,FI,2018-01-01,20
PC,S11,SCA,FI,2018-04-01,20
PC,S11,SCA,FR,2015-07-01,22
PC,S11,SCA,FR,2015-10-01,23
PC,S11,SCA,FR,2016-01-01,23
PC,S11,SCA,FR,2016-04-01,23
PC,S11,SCA,FR,2016-07-01,23
PC,S11,SCA,FR,2016-10-01,23
PC,S11,SCA,FR,2017-01-01,23
PC,S11,SCA,FR,2017-04-01,23
PC,S11,SCA,FR,2017-07-01,23
PC,S11,SCA,FR,2017-10-01,23
PC,S11,SCA,FR,2018-01-01,23
PC,S11,SCA,FR,2018-04-01,
PC,S11,SCA,IT,2015-07-01,20
PC,S11,SCA,IT,2015-10-01,19
PC,S11,SCA,IT,2016-01-01,19
PC,S11,SCA,IT,2016-04-01,19
PC,S11,SCA,IT,2016-07-01,20
PC,S11,SCA,IT,2016-10-01,20
PC,S11,SCA,IT,2017-01-01,20
PC,S11,SCA,IT,2017-04-01,20
PC,S11,SCA,IT,2017-07-01,21
PC,S11,SCA,IT,2017-10-01,21
PC,S11,SCA,IT,2018-01-01,21
PC,S11,SCA,IT,2018-04-01,
PC,S11,SCA,NL,2015-07-01,16
PC,S11,SCA,NL,2015-10-01,18
PC,S11,SCA,NL,2016-01-01,18
PC,S11,SCA,NL,2016-04-01,17
PC,S11,SCA,NL,2016-07-01,18
PC,S11,SCA,NL,2016-10-01,17
PC,S11,SCA,NL,2017-01-01,18
PC,S11,SCA,NL,2017-04-01,18
PC,S11,SCA,NL,2017-07-01,19
PC,S11,SCA,NL,2017-10-01,16
PC,S11,SCA,NL,2018-01-01,19
PC,S11,SCA,NL,2018-04-01,18
PC,S11,SCA,NO,2015-07-01,20
PC,S11,SCA,NO,2015-10-01,22
PC,S11,SCA,NO,2016-01-01,21
PC,S11,SCA,NO,2016-04-01,22
PC,S11,SCA,NO,2016-07-01,21
PC,S11,SCA,NO,2016-10-01,20
PC,S11,SCA,NO,2017-01-01,21
PC,S11,SCA,NO,2017-04-01,21
PC,S11,SCA,NO,2017-07-01,20
PC,S11,SCA,NO,2017-10-01,20
PC,S11,SCA,NO,2018-01-01,19
PC,S11,SCA,NO,2018-04-01,
PC,S11,SCA,PL,2015-07-01,22
PC,S11,SCA,PL,2015-10-01,22
PC,S11,SCA,PL,2016-01-01,21
PC,S11,SCA,PL,2016-04-01,21
PC,S11,SCA,PL,2016-07-01,21
PC,S11,SCA,PL,2016-10-01,21
PC,S11,SCA,PL,2017-01-01,20
PC,S11,SCA,PL,2017-04-01,20
PC,S11,SCA,PL,2017-07-01,20
PC,S11,SCA,PL,2017-10-01,19
PC,S11,SCA,PL,2018-01-01,19
PC,S11,SCA,PL,2018-04-01,
PC,S11,SCA,PT,2015-07-01,22
PC,S11,SCA,PT,2015-10-01,20
PC,S11,SCA,PT,2016-01-01,20
PC,S11,SCA,PT,2016-04-01,20
PC,S11,SCA,PT,2016-07-01,22
PC,S11,SCA,PT,2016-10-01,23
PC,S11,SCA,PT,2017-01-01,23
PC,S11,SCA,PT,2017-04-01,23
PC,S11,SCA,PT,2017-07-01,22
PC,S11,SCA,PT,2017-10-01,22
PC,S11,SCA,PT,2018-01-01,23
PC,S11,SCA,PT,2018-04-01,23
PC,S11,SCA,SE,2015-07-01,25
PC,S11,SCA,SE,2015-10-01,27
PC,S11,SCA,SE,2016-01-01,26
PC,S11,SCA,SE,2016-04-01,27
PC,S11,SCA,SE,2016-07-01,26
PC,S11,SCA,SE,2016-10-01,26
PC,S11,SCA,SE,2017-01-01,27
PC,S11,SCA,SE,2017-04-01,27
PC,S11,SCA,SE,2017-07-01,28
PC,S11,SCA,SE,2017-10-01,27
PC,S11,SCA,SE,2018-01-01,27
PC,S11,SCA,SE,2018-04-01,28
PC,S11,SCA,UK,2015-07-01,17
PC,S11,SCA,UK,2015-10-01,18
PC,S11,SCA,UK,2016-01-01,18
PC,S11,SCA,UK,2016-04-01,18
PC,S11,SCA,UK,2016-07-01,18
PC,S11,SCA,UK,2016-10-01,17
PC,S11,SCA,UK,2017-01-01,17
PC,S11,SCA,UK,2017-04-01,17
PC,S11,SCA,UK,2017-07-01,18
PC,S11,SCA,UK,2017-10-01,18
PC,S11,SCA,UK,2018-01-01,17
PC,S11,SCA,UK,2018-04-01,
