unit,tax,nace_r2,geotime,date,value
PC,NRG,F,UK,2012-01-01,1.5
PC,NRG,F,UK,2013-01-01,1.5
PC,NRG,F,UK,2014-01-01,1.5
PC,NRG,F,UK,2015-01-01,2.3
PC,NRG,F,UK,2016-01-01,
PC,NRG,G,AT,1995-01-01,4.9
PC,NRG,G,AT,1996-01-01,5.0
PC,NRG,G,AT,1997-01-01,5.3
PC,NRG,G,AT,1998-01-01,5.2
PC,NRG,G,AT,1999-01-01,5.3
PC,NRG,G,AT,2000-01-01,5.1
PC,NRG,G,AT,2001-01-01,5.2
PC,NRG,G,AT,2002-01-01,4.9
PC,NRG,G,AT,2003-01-01,4.9
PC,NRG,G,AT,2004-01-01,4.9
PC,NRG,G,AT,2005-01-01,4.9
PC,NRG,G,AT,2006-01-01,5.1
PC,NRG,G,AT,2007-01-01,5.1
PC,NRG,G,AT,2008-01-01,5.2
PC,NRG,G,AT,2009-01-01,5.1
PC,NRG,G,AT,2010-01-01,5.0
PC,NRG,G,AT,2011-01-01,4.9
PC,NRG,G,AT,2012-01-01,4.9
PC,NRG,G,AT,2013-01-01,4.9
PC,NRG,G,AT,2014-01-01,5.1
PC,NRG,G,AT,2015-01-01,5.0
PC,NRG,G,AT,2016-01-01,
PC,NRG,G,BE,1995-01-01,
PC,NRG,G,BE,1996-01-01,
PC,NRG,G,BE,1997-01-01,
PC,NRG,G,BE,1998-01-01,
PC,NRG,G,BE,1999-01-01,
PC,NRG,G,BE,2000-01-01,
PC,NRG,G,BE,2001-01-01,
PC,NRG,G,BE,2002-01-01,
PC,NRG,G,BE,2003-01-01,
PC,NRG,G,BE,2004-01-01,
PC,NRG,G,BE,2005-01-01,
PC,NRG,G,BE,2006-01-01,
PC,NRG,G,BE,2007-01-01,
PC,NRG,G,BE,2008-01-01,5.2
PC,NRG,G,BE,2009-01-01,4.9
PC,NRG,G,BE,2010-01-01,3.2
PC,NRG,G,BE,2011-01-01,4.1
PC,NRG,G,BE,2012-01-01,3.9
PC,NRG,G,BE,2013-01-01,3.5
PC,NRG,G,BE,2014-01-01,3.4
PC,NRG,G,BE,2015-01-01,3.4
PC,NRG,G,BE,2016-01-01,
PC,NRG,G,BG,1995-01-01,
PC,NRG,G,BG,1996-01-01,
PC,NRG,G,BG,1997-01-01,
PC,NRG,G,BG,1998-01-01,
PC,NRG,G,BG,1999-01-01,
PC,NRG,G,BG,2000-01-01,
PC,NRG,G,BG,2001-01-01,
PC,NRG,G,BG,2002-01-01,
PC,NRG,G,BG,2003-01-01,
PC,NRG,G,BG,2004-01-01,
PC,NRG,G,BG,2005-01-01,
PC,NRG,G,BG,2006-01-01,
PC,NRG,G,BG,2007-01-01,
PC,NRG,G,BG,2008-01-01,5.5
PC,NRG,G,BG,2009-01-01,4.7
PC,NRG,G,BG,2010-01-01,4.6
PC,NRG,G,BG,2011-01-01,4.6
PC,NRG,G,BG,2012-01-01,4.6
PC,NRG,G,BG,2013-01-01,4.9
PC,NRG,G,BG,2014-01-01,5.3
PC,NRG,G,BG,2015-01-01,4.4
PC,NRG,G,BG,2016-01-01,
PC,NRG,G,CH,1995-01-01,
PC,NRG,G,CH,1996-01-01,
PC,NRG,G,CH,1997-01-01,
PC,NRG,G,CH,1998-01-01,
PC,NRG,G,CH,1999-01-01,
PC,NRG,G,CH,2000-01-01,4.6
PC,NRG,G,CH,2001-01-01,4.6
PC,NRG,G,CH,2002-01-01,4.8
PC,NRG,G,CH,2003-01-01,4.6
PC,NRG,G,CH,2004-01-01,4.5
PC,NRG,G,CH,2005-01-01,4.3
PC,NRG,G,CH,2006-01-01,4.2
PC,NRG,G,CH,2007-01-01,4.1
