indic_bt,s_adj,unit,nace_r2,geotime,date,value
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2016-07-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2016-10-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2017-01-01,113
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2017-04-01,117
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2017-07-01,118
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2017-10-01,123
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2018-01-01,126
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LT,2018-04-01,130
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2015-07-01,97
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2015-10-01,94
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2016-01-01,91
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2016-04-01,95
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2016-07-01,97
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2016-10-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2017-01-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2017-04-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2017-07-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2017-10-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2018-01-01,113
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LU,2018-04-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2015-07-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2015-10-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2016-01-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2016-04-01,103
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2016-07-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2016-10-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2017-01-01,116
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2017-04-01,115
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2017-07-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2017-10-01,119
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2018-01-01,116
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,LV,2018-04-01,121
