s_adj,age,sex,unit,geo\time,date,value
SA,Y_LT25,F,PC_ACT,HU,2017-11-01,12.6 
SA,Y_LT25,F,PC_ACT,HU,2017-12-01,12.4 
SA,Y_LT25,F,PC_ACT,HU,2018-01-01,13.0 
SA,Y_LT25,F,PC_ACT,HU,2018-02-01,12.4 
SA,Y_LT25,F,PC_ACT,HU,2018-03-01,12.6 
SA,Y_LT25,F,PC_ACT,HU,2018-04-01,12.0 
SA,Y_LT25,F,PC_ACT,HU,2018-05-01,11.8 
SA,Y_LT25,F,PC_ACT,HU,2018-06-01,11.4 
SA,Y_LT25,F,PC_ACT,HU,2018-07-01,10.0 
SA,Y_LT25,F,PC_ACT,HU,2018-08-01,: 
SA,Y_LT25,F,PC_ACT,HU,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,IE,2017-10-01,12.5 
SA,Y_LT25,F,PC_ACT,IE,2017-11-01,11.7 
SA,Y_LT25,F,PC_ACT,IE,2017-12-01,11.8 
SA,Y_LT25,F,PC_ACT,IE,2018-01-01,12.3 
SA,Y_LT25,F,PC_ACT,IE,2018-02-01,12.7 
SA,Y_LT25,F,PC_ACT,IE,2018-03-01,13.1 
SA,Y_LT25,F,PC_ACT,IE,2018-04-01,12.9 
SA,Y_LT25,F,PC_ACT,IE,2018-05-01,13.1 
SA,Y_LT25,F,PC_ACT,IE,2018-06-01,13.1 
SA,Y_LT25,F,PC_ACT,IE,2018-07-01,13.6 
SA,Y_LT25,F,PC_ACT,IE,2018-08-01,13.0 
SA,Y_LT25,F,PC_ACT,IE,2018-09-01,12.0 
SA,Y_LT25,F,PC_ACT,IS,2017-10-01,6.5 
SA,Y_LT25,F,PC_ACT,IS,2017-11-01,6.5 
SA,Y_LT25,F,PC_ACT,IS,2017-12-01,6.5 
SA,Y_LT25,F,PC_ACT,IS,2018-01-01,6.4 
SA,Y_LT25,F,PC_ACT,IS,2018-02-01,6.3 
SA,Y_LT25,F,PC_ACT,IS,2018-03-01,6.2 
SA,Y_LT25,F,PC_ACT,IS,2018-04-01,6.3 
SA,Y_LT25,F,PC_ACT,IS,2018-05-01,6.4 
SA,Y_LT25,F,PC_ACT,IS,2018-06-01,6.6 
SA,Y_LT25,F,PC_ACT,IS,2018-07-01,6.6 
SA,Y_LT25,F,PC_ACT,IS,2018-08-01,6.7 
SA,Y_LT25,F,PC_ACT,IS,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,IT,2017-10-01,36.8 
SA,Y_LT25,F,PC_ACT,IT,2017-11-01,36.8 
SA,Y_LT25,F,PC_ACT,IT,2017-12-01,36.8 
SA,Y_LT25,F,PC_ACT,IT,2018-01-01,35.8 
SA,Y_LT25,F,PC_ACT,IT,2018-02-01,35.8 
SA,Y_LT25,F,PC_ACT,IT,2018-03-01,35.8 
SA,Y_LT25,F,PC_ACT,IT,2018-04-01,34.7 
SA,Y_LT25,F,PC_ACT,IT,2018-05-01,34.7 
SA,Y_LT25,F,PC_ACT,IT,2018-06-01,34.7 
SA,Y_LT25,F,PC_ACT,IT,2018-07-01,: 
SA,Y_LT25,F,PC_ACT,IT,2018-08-01,: 
SA,Y_LT25,F,PC_ACT,IT,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,LT,2017-10-01,11.3 
SA,Y_LT25,F,PC_ACT,LT,2017-11-01,11.3 
SA,Y_LT25,F,PC_ACT,LT,2017-12-01,11.6 
SA,Y_LT25,F,PC_ACT,LT,2018-01-01,10.8 
SA,Y_LT25,F,PC_ACT,LT,2018-02-01,10.8 
SA,Y_LT25,F,PC_ACT,LT,2018-03-01,11.0 
SA,Y_LT25,F,PC_ACT,LT,2018-04-01,10.3 
SA,Y_LT25,F,PC_ACT,LT,2018-05-01,10.3 
SA,Y_LT25,F,PC_ACT,LT,2018-06-01,10.6 
SA,Y_LT25,F,PC_ACT,LT,2018-07-01,11.4 
SA,Y_LT25,F,PC_ACT,LT,2018-08-01,11.1 
SA,Y_LT25,F,PC_ACT,LT,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,LU,2017-10-01,12.8 
SA,Y_LT25,F,PC_ACT,LU,2017-11-01,13.5 
SA,Y_LT25,F,PC_ACT,LU,2017-12-01,13.4 
SA,Y_LT25,F,PC_ACT,LU,2018-01-01,12.8 
SA,Y_LT25,F,PC_ACT,LU,2018-02-01,12.4 
SA,Y_LT25,F,PC_ACT,LU,2018-03-01,12.3 
SA,Y_LT25,F,PC_ACT,LU,2018-04-01,12.8 
SA,Y_LT25,F,PC_ACT,LU,2018-05-01,13.3 
SA,Y_LT25,F,PC_ACT,LU,2018-06-01,13.2 
SA,Y_LT25,F,PC_ACT,LU,2018-07-01,12.6 
SA,Y_LT25,F,PC_ACT,LU,2018-08-01,12.7 
SA,Y_LT25,F,PC_ACT,LU,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,LV,2017-10-01,14.3 
SA,Y_LT25,F,PC_ACT,LV,2017-11-01,13.7 
SA,Y_LT25,F,PC_ACT,LV,2017-12-01,13.1 
SA,Y_LT25,F,PC_ACT,LV,2018-01-01,14.2 
SA,Y_LT25,F,PC_ACT,LV,2018-02-01,13.4 
SA,Y_LT25,F,PC_ACT,LV,2018-03-01,12.7 
SA,Y_LT25,F,PC_ACT,LV,2018-04-01,10.5 
SA,Y_LT25,F,PC_ACT,LV,2018-05-01,9.5 
SA,Y_LT25,F,PC_ACT,LV,2018-06-01,9.0 
SA,Y_LT25,F,PC_ACT,LV,2018-07-01,8.8 
SA,Y_LT25,F,PC_ACT,LV,2018-08-01,8.5 
SA,Y_LT25,F,PC_ACT,LV,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,MT,2017-10-01,11.3 
SA,Y_LT25,F,PC_ACT,MT,2017-11-01,11.0 
SA,Y_LT25,F,PC_ACT,MT,2017-12-01,10.3 
SA,Y_LT25,F,PC_ACT,MT,2018-01-01,8.8 
SA,Y_LT25,F,PC_ACT,MT,2018-02-01,6.6 
SA,Y_LT25,F,PC_ACT,MT,2018-03-01,5.9 
